"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04611","mmu04611","Platelet activation","101/5355","125/9045",1.87247866583202e-07,7.97003739815679e-07,2.88073640897234e-07,"12825/12843/12842/18783/14061/67268/14127/14677/11465/14679/11651/22371/11652/19047/18749/18747/11515/11848/19046/16398/23797/14360/17931/432530/30955/19878/14674/104111/16416/320207/20963/210044/104110/29857/107589/224129/11512/19877/14682/18797/108101/16412/54519/20619/228785/14683/20779/18706/18441/54195/21894/18710/18127/18762/11461/21391/16438/16439/22323/20866/11513/18709/74769/14678/19395/60596/234779/16399/67938/18759/18707/18798/19045/16801/18708/17096/16440/19222/238564/104709/19224/14062/109305/14065/329502/14723/22320/18795/215449/70549/19091/19094/26416/232906/69632/14131/26417/26413/109905/211429/434233",101
"mmu04350","mmu04350","TGF-beta signaling pathway","81/5355","97/9045",2.06034962196185e-07,8.65868448723208e-07,3.12964499538509e-07,"14264/14118/14563/21825/12160/13179/17965/12162/11479/20683/268977/21803/12667/51792/21812/11848/15903/19053/104394/66313/19052/72508/15902/21809/17129/218441/14313/12166/12159/17869/56438/12914/110542/68010/19877/17128/17126/58988/17131/269275/11477/12156/13559/19650/18741/26965/209268/17125/73699/207596/18007/17127/21813/12163/230597/21402/17130/16324/69585/21781/75788/12161/21808/13732/16323/15901/21815/68799/18121/23893/242316/11480/12167/328572/11481/228839/26417/26413/12168/244058/12579",81
"mmu04922","mmu04922","Glucagon signaling pathway","86/5355","104/9045",2.11708630981879e-07,8.785908185748e-07,3.17562946472819e-07,"12894/17691/26427/19017/103988/110078/110095/56421/12313/11651/14936/11652/18749/18747/241113/78070/18648/12315/23797/93759/18641/104570/56012/107476/14120/210044/68263/19056/12325/19057/19013/12914/12322/14682/18797/18639/18682/12912/11909/18534/14683/74343/19055/12913/108079/20525/108099/19079/16438/16832/16439/18576/56420/68961/110094/18597/75600/18746/19309/18642/80796/19058/18679/68401/12314/102093/235344/108097/208647/18798/74551/68734/100705/11911/16440/56458/105787/18795/231991/108058/328572/12323/16828/19082/12895/15469",86
"mmu00510","mmu00510","N-Glycan biosynthesis","46/5355","50/9045",2.29959623861405e-07,9.42550557061562e-07,3.40680924239119e-07,"17155/20440/17156/17308/53618/13135/17158/269181/13481/57170/20014/14595/53418/13200/57357/57377/103963/320302/102580/16430/13478/68292/208624/381903/223774/107895/103534/66248/227619/230815/140481/208211/56737/66789/67574/17309/68563/217664/57370/207958/14376/320438/227697/380959/13480/80286",46
"mmu04014","mmu04014","Ras signaling pathway","176/5355","235/9045",2.43966264912129e-07,9.8097525031232e-07,3.54569367582766e-07,"18596/18783/13649/23871/18595/17311/26420/18015/18053/14177/110157/18591/19344/12313/11651/19353/21844/85031/11652/16151/64143/14389/18654/26395/54153/18749/14186/18747/16001/16337/16590/21687/13836/12540/12048/11848/56044/17295/13712/56289/12977/18803/271457/170758/58231/16706/19345/12315/23797/16000/56480/19696/216148/14257/18806/56784/66482/218397/19418/26419/14180/11600/224105/23872/14695/22339/19765/20662/12978/15566/225870/19697/12015/22340/56392/74055/12675/15461/18590/22637/54354/19731/11352/19730/11350/14178/228850/18706/14696/18805/18176/13636/66350/13645/54635/18033/18710/14688/72399/14254/14693/21802/16653/233046/70584/18479/14205/19414/11601/22341/16150/14182/80857/14388/18709/71785/14697/75600/114713/74769/17532/66066/19395/19354/80796/234779/20663/26396/271849/14701/12314/14164/241694/14173/20130/14700/14710/18707/18784/18782/19732/18708/217944/20416/53357/54601/14702/19247/11845/14708/12064/16002/18205/329502/18750/215449/18751/14184/18212/66922/14784/225845/16542/26417/26413/240057/17356/14707/109905/226525/240168/14704/78405/18752/211429/14256",176
"mmu04151","mmu04151","PI3K-Akt signaling pathway","258/5355","359/9045",2.4524381257808e-07,9.8097525031232e-07,3.54569367582766e-07,"22370/23928/12833/12834/12843/14268/12842/12826/12643/20393/12827/12835/16777/83490/21825/26427/14745/12445/18596/12845/192897/21826/13649/18595/17311/12830/12829/319480/16773/20750/320910/16421/21923/18053/14177/12444/110157/18591/16402/16400/11651/19353/22371/22084/12576/20869/14936/11652/16151/109333/18654/26395/14186/16001/16337/16590/21687/13836/12567/51792/12048/17295/19053/19211/12977/12915/16398/16776/20181/26931/13867/54401/22629/12539/23797/16775/22027/16000/74747/17246/19052/14257/72508/30955/16416/22627/320207/59032/26932/15519/20963/21828/14180/71978/18414/22631/11600/17869/14083/56637/16419/15975/15976/15370/12575/14695/15516/22339/18607/56716/20662/16774/12978/225849/16452/58988/19697/12015/22340/12675/16404/12566/15461/74370/16412/18590/170755/12912/12839/26987/226519/16782/226849/16780/241226/16184/263803/64930/16420/16401/16410/11909/16403/14178/12125/18534/18706/14696/18176/74343/16194/13636/24088/13645/54635/21827/75778/13684/18033/12448/12913/20104/108079/16451/18710/12371/19744/18127/56717/14688/14254/14693/21802/16653/16190/17763/16186/14205/11601/13685/22341/16150/14182/80857/19651/244650/16453/18709/71785/73699/14697/74769/66066/81877/67168/16399/68401/20663/26396/14701/14164/14173/14700/17210/208647/14710/21898/104099/18707/50791/12571/74551/18708/52432/109700/11911/19699/14702/235542/245026/98432/14924/104709/14708/14062/12064/16002/56484/18205/105787/18750/22628/16779/231991/14184/18212/14600/16367/12043/320795/75705/21770/22059/14784/13866/16542/26417/26413/14707/16188/12443/14704/78405/22630/12828/213119/19054/14256",258
"mmu05166","mmu05166","Human T-cell leukemia virus 1 infection","186/5355","250/9045",2.50699705463053e-07,9.90860740639685e-07,3.5814243637579e-07,"26427/14281/12445/18186/15007/16177/23871/16476/16414/26420/12444/18519/11651/20375/71810/21803/19698/382056/12317/12028/20850/11652/16151/26395/18749/18747/11515/19385/12567/21812/12048/22335/13712/234729/19211/17222/21374/12915/20807/14991/11740/13557/242705/23797/52717/21423/18045/103573/12330/22333/30939/432530/104111/217232/26406/14534/20851/53859/18035/21809/210044/26401/22334/19056/26419/19057/19645/104110/17869/12914/13383/224129/23872/11512/12575/56310/16169/73181/52563/17128/17126/14283/81601/19697/66156/12675/18034/12566/15461/11798/12912/13714/16184/99152/11909/18019/18706/12428/18176/74343/19055/18033/12448/21894/12913/16451/12580/20525/18710/52206/19384/56317/59008/50883/17120/56150/16653/17000/21937/70461/75430/16408/16186/18970/16150/11739/11513/16168/16453/18709/18021/12501/17127/245000/21813/74769/18018/26398/19058/11920/26396/69010/15015/14960/68999/15894/15000/14998/13654/69957/13653/208647/21808/18707/18708/12257/11911/12578/22695/100683/17701/70549/231991/15042/328572/15039/22059/110196/15018/14969/12010/14972/26417/26413/66440/12237/15040/12443/237336/110557/14964/14961/12579/15024/14999/19428",186
"mmu03030","mmu03030","DNA replication","34/5355","35/9045",2.60113772238833e-07,1.01597379274462e-06,3.67219443160705e-07,"68275/17216/17218/18968/18973/68240/18972/19819/67153/17217/106344/19718/14156/18969/69745/68209/19075/19076/17219/18538/59001/19891/19687/72151/17220/381760/66979/67967/69263/327762/18971/17215/69724/16881",34
"mmu05171","mmu05171","Coronavirus disease - COVID-19","184/5355","248/9045",4.05107115409039e-07,1.56390188739303e-06,5.65265742431217e-07,"12266/50909/109828/14281/13649/18186/14962/12268/16476/14061/50908/74145/13058/26420/269261/270106/22371/16391/66211/54131/27207/26961/20848/16151/76846/56040/20084/110954/267019/75617/66480/20103/69379/68652/18803/19921/56480/78294/11421/18035/22031/20963/16195/26419/29857/17174/15975/15976/17858/19106/72512/12263/15200/20044/19697/12675/20088/27370/67186/67115/12362/20846/20344/71586/22034/18706/16159/16194/56417/24088/20091/18033/67427/26409/20104/16451/18710/19934/17175/23961/19988/21937/19943/18036/27050/20102/16179/16150/142980/18709/54721/225215/67891/74769/17874/16785/246728/234779/15945/20090/100038882/67941/12259/12262/12260/228607/20055/19896/14109/66481/21898/68028/18707/20847/230073/12267/20085/18708/19933/67281/56489/19989/16898/170743/76808/19981/26451/20005/20116/19944/11607/12273/66475/66483/100043813/18750/67097/11491/246730/18751/19094/26416/67671/19951/54217/268449/100503670/19946/19899/67025/14131/266632/27367/57808/19941/20115/11537/20068/20042/68436/319195/27176/66489/26417/19942/26413/20054/11837/54127/619547/65019/100502825/114641/22121/18752/317677/19982/67248/100040298/22186/57294/68052/67945/68193",184
"mmu05231","mmu05231","Choline metabolism in cancer","81/5355","98/9045",4.99250843224603e-07,1.9051871258686e-06,6.8862185272359e-07,"14281/18596/18783/13649/16476/18595/22376/26420/56077/110157/18591/20683/11651/19353/22084/11652/110524/26395/13026/18803/170758/20520/23797/30805/72508/18806/15251/19012/26419/12651/20519/18607/20662/58988/12660/13139/15461/18590/18777/64930/19730/74182/18706/18805/18176/13645/54635/18720/100434/67916/18710/242687/19744/56717/16653/13685/18709/71785/74769/19354/380921/20663/18717/26396/217480/18707/104418/18708/329502/18750/50784/18751/68682/14784/212862/26417/26413/56517/227333/18752/211429",81
"mmu04912","mmu04912","GnRH signaling pathway","75/5355","90/9045",6.93000786070636e-07,2.61450296563013e-06,9.45001071914504e-07,"17390/18783/18753/13649/16476/17387/26420/12288/110157/23939/12313/26400/26395/18749/18747/11515/12540/13712/26407/26397/12315/432530/26399/104111/26406/18806/210044/26401/12325/26419/104110/29857/224129/11512/20662/26405/15200/12322/14682/18797/15461/12292/14683/20779/18805/18176/16438/16653/16439/11513/75600/26398/80796/14672/20663/26396/12314/13653/18798/11911/16440/329502/18750/18795/18751/19094/26416/108058/12323/19229/14784/26417/26413/211429/16866",75
"mmu04330","mmu04330","Notch signaling pathway","53/5355","60/9045",7.12330192244431e-07,2.65723172837249e-06,9.604452030262e-07,"18131/56198/18519/16450/13544/59287/74198/21885/19165/13388/18132/226548/17305/15182/19164/13543/14534/66354/18222/12914/15205/21888/19719/18128/16449/54485/18129/433759/13542/20602/16848/13017/270118/21887/208117/114606/21886/66340/13016/19664/207521/15213/80904/66935/20238/209200/103806/11491/68318/328572/433586/18223/52335",53
"mmu04218","mmu04218","Cellular senescence","140/5355","184/9045",8.82318997919455e-07,3.25477674788066e-06,1.17642533055927e-06,"13197/12445/15007/23871/12444/110157/12313/11651/22084/21803/11652/19047/26395/12567/21812/15257/22335/215999/19211/63873/104394/19046/17873/18412/14991/11740/13557/17164/26397/242705/12315/23797/103213/93759/17246/103583/19360/22333/15574/16009/26399/12192/21809/23882/22334/19056/19057/19645/19355/17869/29857/12575/73181/17126/19367/19697/12333/12234/12566/15461/54354/12334/64930/15259/58800/18019/13559/19650/18706/12428/67738/18176/19055/18033/12448/27354/18710/19744/56717/50883/16438/16653/16439/13685/11739/19651/18709/18021/17535/75600/17127/245000/21813/74769/17532/12530/18018/80796/19058/11920/26396/15015/12314/75660/18787/20130/231724/21808/18707/12571/19045/233020/18708/16440/56458/12578/12193/56484/19094/26416/15042/66922/15039/19646/72568/22059/15018/14972/15258/26417/26413/15040/12443/110557/14964/12579/15024/217708/434233/231506",140
"mmu04072","mmu04072","Phospholipase D signaling pathway","116/5355","149/9045",9.94049200207707e-07,3.62664103812043e-06,1.31083411016401e-06,"14745/18596/18783/13649/67512/14061/18595/17311/13429/14127/19159/14673/56077/110157/18591/28169/11651/22084/19158/11652/64143/14389/110524/26395/16337/11515/16590/11848/56044/18803/19157/72318/23797/14360/54140/216148/432530/30955/14674/104111/18806/320207/20963/210044/19012/104110/223864/224129/11512/68262/20662/18797/13139/15461/18590/64930/19730/14683/18706/18805/18176/13645/54635/19220/18720/67916/18710/19744/56717/16653/52123/11513/14388/18709/11606/71785/74769/17532/13430/67168/55979/234779/380921/20663/18717/26396/271849/217480/20130/18707/18798/103967/104418/18708/20416/19247/11845/104709/11840/14062/56508/11607/329502/18750/18795/50784/66922/56632/19229/14784/20698/11841/26417/26413/227333/211429",116
"mmu04310","mmu04310","Wnt signaling pathway","131/5355","171/9045",1.02349628070836e-06,3.69348657820842e-06,1.33499514875003e-06,"20317/12445/329252/16476/14368/208846/14371/93960/14362/20377/26420/26563/20378/216795/12006/12444/21414/19353/19015/13544/18749/18747/11789/12387/11848/21885/12301/22411/18099/170758/54612/72780/19164/23805/103583/19878/13543/68339/20379/72293/19056/12325/26419/22418/19057/17869/56438/73739/27373/12914/56637/75826/22410/73181/12005/68010/13001/17128/93687/12322/21888/14283/16973/18797/21416/12234/21372/20671/18019/81004/22414/229658/56811/19055/26409/16348/67087/13542/93735/26965/243548/56505/22419/16974/13017/14735/54630/53627/18021/21887/17127/20187/18018/19354/22420/19058/207742/114606/21886/106042/21402/20437/22417/14370/13016/18798/76441/20438/14369/407821/14367/13000/212398/14366/107515/57265/18750/18795/18751/67772/108058/328572/21415/12323/22059/14296/12443/494504/12995/18752/93897",131
"mmu04370","mmu04370","VEGF signaling pathway","51/5355","58/9045",1.60538580286002e-06,5.73105469408092e-06,2.07146555207744e-06,"18783/110157/11651/19353/11652/26395/15507/12540/17164/18803/170758/23797/216148/19056/19057/14083/29857/22339/12015/15461/18019/20779/18706/18176/19055/18710/12371/18127/19303/16653/18709/74769/102626/19354/19058/234779/26396/18707/18708/329502/18750/18751/19094/26416/56632/20698/16542/26417/26413/18752/211429",51
"mmu03018","mmu03018","RNA degradation","70/5355","84/9045",1.63967658190825e-06,5.79119814035681e-06,2.09320414711692e-06,"56421/50783/57316/13807/103135/27756/230721/72198/50912/72068/18641/104625/12227/71701/69125/75901/18458/74108/12228/15526/70640/66446/15510/58184/24128/50911/69639/72162/66362/72587/18983/78651/68533/69305/13209/213550/24127/75686/18642/72662/218343/67678/109075/66583/210106/231464/66094/232791/319885/234699/12226/234594/214627/67207/22057/53621/353190/227715/108077/319618/76522/225929/57259/78893/433182/13808/27998/66317/13806/66373",70
"mmu01200","mmu01200","Carbon metabolism","96/5355","121/9045",1.85650880238284e-06,6.48800970938003e-06,2.34506375037832e-06,"21881/110639/230163/103988/76282/68738/56421/235339/66925/15277/15929/13807/78920/12974/67680/18648/17448/235582/18641/17449/18293/56012/20425/13382/11430/104776/14120/66945/68263/14661/239017/13885/20916/11429/21991/110460/17850/107029/107272/18563/14718/72141/108037/93747/21351/15926/66646/14194/12359/170718/60525/11532/11428/110208/100198/80911/100678/11409/269951/109264/11674/18597/14381/19139/14719/108682/66171/110446/67834/18746/17436/66904/434437/18642/73724/225913/68133/14751/15275/227095/110821/67078/75731/56451/236539/19895/14433/66052/433182/353204/13808/20917/18655/224530/13806/328099",96
"mmu04935","mmu04935","Growth hormone synthesis, secretion and action","93/5355","117/9045",2.30852459973588e-06,7.98364757408659e-06,2.88565574966985e-06,"216233/26427/14281/384783/14677/26420/12288/14679/110157/11651/20848/20850/11652/26395/18749/18747/11515/12929/12915/18803/12928/26397/23797/16000/216148/16009/432530/26399/104111/20851/210044/26401/26419/104110/12914/14083/29857/56637/224129/11512/20662/14682/16452/18797/15461/12912/20846/12292/11909/14683/18706/18176/12913/18710/56717/16438/16653/16439/11513/18709/12927/74769/14678/26398/234779/14672/20663/26396/271849/208647/18707/18798/18708/11911/20416/16440/16005/16369/18750/18795/16477/18751/231991/12702/19094/26416/328572/14600/16367/14784/26417/26413/18752",93
"mmu00310","mmu00310","Lysine degradation","55/5355","64/9045",3.1370447209503e-06,1.07371015191289e-05,3.88088006715501e-06,"26432/214162/270076/78920/26433/75410/14055/11671/110147/84505/18822/72947/13382/18193/74147/110460/93747/97212/209692/226830/64707/56752/14013/15107/192195/69188/11669/14056/110446/269132/74729/234407/235386/77683/73251/231051/208043/20937/70673/233904/235626/225888/381022/67956/213389/110695/234135/12180/69726/107823/110593/232811/208266/224530/239122",55
"mmu04920","mmu04920","Adipocytokine signaling pathway","60/5355","71/9045",3.63587344302168e-06,1.23174488069714e-05,4.45208993023062e-06,"12894/19017/384783/12491/26420/11651/20869/20848/11652/16151/241113/78070/20183/20181/20528/14081/23797/216739/18035/26419/19013/11450/18037/16452/19697/433256/12675/72674/18761/22030/18534/18033/108079/21938/20525/108099/56717/207565/19079/68465/21937/18036/50790/16150/71609/74205/68401/108097/20182/74551/100705/19247/16369/105787/12702/16367/16847/16846/19082/12895",60
"mmu05224","mmu05224","Breast cancer","113/5355","147/9045",4.20922569265835e-06,1.41157871713391e-05,5.10209174867679e-06,"13197/18131/14281/13649/16476/14368/56198/14371/14362/216795/12006/14177/110157/21414/11836/20683/11651/107986/109880/16450/13544/12028/11652/26395/16001/16590/11789/12567/12387/19211/13388/17873/18132/22411/13557/242705/23797/13982/16000/23805/216148/14257/72508/17977/13543/23882/27015/14180/22418/19645/17869/15205/56637/22410/12575/12005/20662/93687/58988/16973/21416/18034/15461/18128/14178/16449/54485/18706/17979/22414/18176/18129/13645/18710/56717/13542/93735/22419/16974/16653/14182/80857/18709/74769/22420/20663/26396/271849/14164/22417/14370/14173/18707/12571/15213/14369/12190/18708/20416/14367/212398/14366/57265/21415/12018/22059/14784/13866/26417/26413/14296/12443/93897",113
"mmu05235","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","72/5355","88/9045",4.57070375418777e-06,1.51747364639034e-05,5.48484450502532e-06,"14281/13649/15170/16476/110157/11651/20848/11652/16151/26395/12503/19211/60533/18803/26397/23797/15979/72508/26399/26406/18035/15251/19056/19057/29857/15980/18037/13001/16452/58988/19697/12675/15461/12487/20846/22637/18761/22034/18019/18706/18176/24088/13645/19055/18033/16451/18710/56717/16653/18036/16150/18709/18021/117149/12501/74769/17874/78798/18018/19058/26396/21898/18707/18708/19247/13000/106759/19094/26416/26417/26413/12995",72
"mmu05417","mmu05417","Lipid and atherosclerosis","159/5355","216/9045",5.47170325921468e-06,1.79117658772929e-05,6.47413224480468e-06,"54123/14281/238055/22324/16803/16476/13058/11806/19016/12491/26420/12313/11651/19353/26400/54131/12028/20848/11652/16151/12122/13057/12540/20656/15482/12048/11848/18987/22325/74519/11303/15481/68652/18024/20183/20181/17969/18803/17395/26397/12315/23797/11783/22027/56480/15525/22433/19878/26399/78943/18035/13665/15519/22031/19056/12325/50527/26419/21933/19057/66513/14083/29857/56637/15516/11307/18607/225164/12322/14102/16452/22359/19697/12015/18797/12369/12675/13198/15461/12362/15510/12370/17970/18986/20344/226641/14828/22030/22034/18019/20779/18706/16159/18176/22329/24088/12368/19055/18033/26409/18710/12371/18127/76580/16438/16653/21937/16179/16150/12367/13666/18709/18021/117149/16835/75600/13076/74769/17874/18018/26398/57257/80796/19058/12314/15894/21898/22035/20182/18707/18798/16801/18708/17096/56489/11911/106759/18750/18795/12475/21899/215449/13110/19094/26416/108058/12043/12323/22059/266632/15512/26417/26413/13063/21353/109905/26408/15511/193740",159
"mmu00520","mmu00520","Amino sugar and nucleotide sugar metabolism","45/5355","51/9045",5.50301240808397e-06,1.79117658772929e-05,6.47413224480468e-06,"103988/22235/15277/216558/12763/109754/14584/14635/15212/29858/22122/54128/15211/72157/72017/107652/227620/69976/94181/50798/230582/66681/67980/14583/12764/19703/110119/266690/69080/234730/56174/14430/14751/245847/15275/54342/218138/74091/320635/26384/75540/67311/109785/67883/331026",45
"mmu04530","mmu04530","Tight junction","126/5355","167/9045",6.58366085010382e-06,2.12211204100434e-05,7.67028448555785e-06,"17906/12737/26941/22142/12394/16476/17698/22376/242653/67268/12479/26420/231830/242894/11465/53310/60363/19353/21844/26400/17274/20869/102098/18749/18747/56513/76709/241113/12540/12567/51792/11848/67771/18016/19053/74094/75723/109711/17880/66713/19052/15525/16897/19878/217325/77579/56217/218518/26401/26419/71978/17886/105782/13383/15163/22143/68188/19877/83814/21873/16412/93742/22145/74117/74192/18538/20779/68328/16800/17475/54357/108079/108099/18762/56378/19079/11461/56443/11867/53857/56449/22323/21872/71960/70497/13043/83964/19684/73699/17999/68178/56332/67938/235442/192786/18759/108097/16456/216459/12741/27494/52432/104027/22146/58220/18754/14924/434204/72065/105787/22350/67374/60595/93737/12695/76089/13866/19082/98932/17356/109905/12443/23828/26408/68089/17904",126
"mmu04022","mmu04022","cGMP-PKG signaling pathway","130/5355","173/9045",6.77199349096369e-06,2.1618286913461e-05,7.81383864341964e-06,"26427/11555/17888/384783/16523/140781/14677/12288/11938/11932/14679/14673/110157/12313/17261/11651/11652/19047/26395/16337/11515/17260/17540/98660/27222/11848/22335/19046/12915/20807/11740/67821/12315/23797/17931/67972/22333/432530/30955/19878/14674/104111/53313/320207/12062/210044/22334/19056/105675/19057/13618/104110/107589/224129/11512/57080/73181/19877/14682/12015/18797/12912/19735/12292/381290/11931/11909/11550/228785/18019/18160/54195/19055/12913/230103/18127/16438/16439/22323/17258/18576/11937/320707/13617/11739/11513/18021/75600/11933/14678/18018/11928/80796/60596/19058/14672/26396/12314/18821/208647/18798/19045/54611/11911/11539/16440/238564/18754/11553/11549/104709/16369/11607/18795/19091/231991/242202/20541/16367/11552/11936/14886/26417/16531/26413/98932/17259/110893/434233/207728",130
"mmu05230","mmu05230","Central carbon metabolism in cancer","58/5355","69/9045",7.51907402592514e-06,2.37745959676871e-05,8.59322745820016e-06,"18596/13649/19713/103988/18595/56421/110157/15277/11651/20514/11652/26395/16590/228026/17295/18648/19211/23797/18641/56012/15251/68263/17869/80879/64384/15461/15926/14660/18706/18176/20525/18710/56717/16832/16653/269951/18597/14381/14182/18709/18746/74769/18642/50721/26396/15275/319801/18707/20539/18708/14184/18213/22059/13866/26417/16828/26413/100126824",58
"mmu04130","mmu04130","SNARE interactions in vesicular transport","31/5355","33/9045",8.19035573188782e-06,2.56528122923279e-05,9.27210082855225e-06,"56216/67023/56418/20907/56389/53334/53331/22318/55943/56494/53612/67474/224630/53611/54399/58244/53330/20619/228960/20333/22319/71116/13852/22317/20909/12068/74732/20908/22320/67727/53620",31
"mmu03250","mmu03250","Viral life cycle - HIV-1","52/5355","61/9045",9.75961360290393e-06,3.02821655716271e-05,1.09453610499857e-05,"17754/69550/17755/18519/20587/192657/19386/20924/107951/80287/20479/12455/320938/58202/22088/57314/26943/270058/103573/20922/14534/218210/218442/12914/17858/64144/27632/208092/15239/72949/56045/101739/70122/24116/19384/18550/116733/235180/23988/18571/269061/76895/75608/12767/93736/328572/432508/319236/209387/13716/268373/19428",52
"mmu04668","mmu04668","TNF signaling pathway","90/5355","115/9045",1.10715344874423e-05,3.40347171280633e-05,1.2301704986047e-05,"26427/14281/16476/17387/26420/11651/26400/11652/16151/26395/74568/12977/12915/68652/17395/16362/26397/23797/21929/26399/53859/18035/73086/22031/13614/19766/26419/56532/66513/29857/74006/26410/14102/19697/12369/12675/11798/12912/12370/12633/22033/69601/22030/11909/16449/16396/18706/22329/18033/26409/12913/21938/18710/72542/21937/14082/14205/22341/16150/12367/16168/20312/18709/71609/11796/74769/26398/15945/66724/74256/67384/15894/208647/18707/18708/11911/16477/231991/12702/19094/12051/26416/257632/12608/11797/26417/26413/26408/15953/56613",90
"mmu04136","mmu04136","Autophagy - other","30/5355","32/9045",1.30605636287544e-05,3.97807993096007e-05,1.43786021600966e-05,"235040/29869/19053/56486/19052/66795/67841/56716/329015/74370/66615/77040/51897/242557/56717/74781/57436/74244/18518/93739/75669/67526/245860/225326/56208/68118/11793/76559/52639/666468",30
"mmu03010","mmu03010","Ribosome","131/5355","176/9045",1.4389291478585e-05,4.34294979171838e-05,1.56974088857291e-05,"269261/270106/107732/66211/27398/66163/27207/26961/76846/56040/20084/110954/267019/75617/66480/20103/75398/68735/19921/67707/78294/216767/94066/68537/68463/68565/68611/94064/20044/94063/353242/66419/20088/27370/67186/67115/107734/77721/20091/78523/67427/20104/66407/19934/66448/94061/19988/56284/19943/67994/27050/27397/20102/225215/67891/16785/94062/27395/66258/64657/94065/20090/118451/67941/20055/19935/19896/14109/66481/68028/56282/121022/20085/19933/67281/19989/16898/76808/24030/19981/26451/50529/20005/20116/19944/66475/66483/66242/100043813/67097/66223/66292/67671/67681/19951/54217/64659/268449/100503670/19946/19899/67025/27367/57808/69527/19941/20115/20068/20042/68436/319195/27176/66489/19942/20054/11837/54127/619547/65019/100502825/114641/22121/19982/67248/100040298/22186/57294/68052/67945/68193/66845",131
"mmu01232","mmu01232","Nucleotide metabolism","68/5355","84/9045",1.70674356772931e-05,5.10485463501018e-05,1.84512818132898e-05,"11639/20135/76654/72962/12496/66355/69692/105446/22245/23917/11717/11821/11565/27369/11566/68106/209558/14923/22169/50773/18103/12499/100862375/382985/11564/22436/56520/56248/76952/21877/76025/15452/21915/80914/171567/11636/110074/229363/109674/51797/66588/11637/13178/107569/20133/55936/66566/23959/54369/75686/103850/12497/57813/18605/18102/11534/66422/210808/12495/230718/14544/23918/229665/79059/16434/68556/67464/18950",68
"mmu05412","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","63/5355","77/9045",1.8170798647255e-05,5.38634388472203e-05,1.94687128363447e-05,"192897/12558/11474/319480/16773/12295/11465/12288/320910/16421/11938/16402/21414/16400/20391/16480/13726/12297/12387/56808/16398/12298/24052/16416/12299/54377/53313/20191/12294/16419/21416/16404/16412/13346/12292/241226/16420/16401/16410/16403/16905/24051/11461/11937/16399/24053/12385/104099/13138/12293/319734/67451/109700/13405/14609/11472/20541/21415/216033/81904/54378/110893/213119",63
"mmu04216","mmu04216","Ferroptosis","36/5355","40/9045",1.8351053911136e-05,5.39163707831607e-05,1.94878448613834e-05,"22041/53945/12870/13058/14792/15368/22335/17254/14081/216739/22334/213053/22042/18174/14319/433256/20229/68428/66734/14854/14630/74244/50790/67443/14629/74205/11793/14325/23983/67547/27057/18521/22059/69215/625249/19122",36
"mmu05221","mmu05221","Acute myeloid leukemia","58/5355","70/9045",1.85580440662627e-05,5.40462335964842e-05,1.95347832276449e-05,"18627/12394/16409/67603/110157/21414/11836/16480/11651/20375/19015/109880/20848/20850/11652/16151/26395/16590/12395/23797/72508/20851/17869/18712/20662/12978/58988/19697/12015/21416/12675/15461/18706/12428/18176/18033/18710/56717/16653/18715/13685/16150/18709/74769/20663/12606/26396/18854/19401/18707/18708/12475/21415/14784/26417/26413/235320/12443",58
"mmu03022","mmu03022","Basal transcription factors","39/5355","44/9045",1.89192027584005e-05,5.46189157894694e-05,1.97417767913745e-05,"108143/14885/98053/225895/14884/21374/70439/83602/17420/66671/23894/74197/57080/63856/68776/13872/226182/209361/229906/66464/209357/13871/270627/68153/235459/66467/21343/319944/102162/228980/24075/407786/99730/24074/72504/14886/68705/12572/237336",39
"mmu00640","mmu00640","Propanoate metabolism","29/5355","31/9045",2.07871379412883e-05,5.94942223836871e-05,2.15039358013327e-05,"268860/68738/13171/52665/107476/13382/11430/104776/20916/74147/17850/93747/97212/60525/80911/11409/16832/12040/66904/73724/380660/227095/110821/100705/56451/12039/20917/16828/56690",29
"mmu03015","mmu03015","mRNA surveillance pathway","81/5355","103/9045",2.19052699652547e-05,6.21585438330304e-05,2.24669435541074e-05,"17149/53817/229512/19047/51792/67897/19053/53319/230721/19046/13680/26931/74412/56422/77305/216578/19052/18949/59032/26932/18789/20220/71978/56215/18458/68092/68188/225363/74320/225849/21681/192170/226849/98985/228410/67337/24018/433702/51796/68991/66899/54188/66441/233789/233908/108062/68219/73699/234733/94230/19826/269061/68134/56488/103677/60365/67031/19045/74737/230908/52432/51786/237082/105083/226517/235542/326622/83410/54451/432508/19704/21770/56009/100041953/14852/78428/70248/76626/192160/19054/434233",81
"mmu00563","mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","25/5355","26/9045",2.2340708523751e-05,6.28569087278418e-05,2.27193646004247e-05,"66268/327942/78928/110417/14756/14731/56176/72084/18701/14755/67292/13481/56703/433931/18700/228812/329777/276846/230801/70325/67556/27392/225651/241062/55981",25
